Country,dt,AverageTemperature,AverageTemperatureUncertainty
Japan,2012,12.565666666666667,0.2569166666666667
Japan,2013,12.964749999999999,0.332125
Kazakhstan,1960,4.318833333333334,0.32508333333333334
Kazakhstan,1961,6.357583333333334,0.28383333333333327
Kazakhstan,1962,6.529583333333331,0.32608333333333334
Kazakhstan,1963,6.677416666666667,0.3055833333333334
Kazakhstan,1964,4.974583333333334,0.313
Kazakhstan,1965,6.236166666666667,0.3219166666666667
Kazakhstan,1966,5.78025,0.308
Kazakhstan,1967,5.923583333333333,0.3363333333333334
Kazakhstan,1968,5.392,0.2941666666666667
Kazakhstan,1969,3.7237500000000003,0.25566666666666665
Kazakhstan,1970,5.547000000000001,0.23475
Kazakhstan,1971,6.325166666666667,0.28291666666666665
Kazakhstan,1972,4.3566666666666665,0.3954166666666667
Kazakhstan,1973,6.086083333333335,0.25558333333333344
Kazakhstan,1974,5.2562500000000005,0.2310833333333334
Kazakhstan,1975,6.527583333333333,0.24733333333333338
Kazakhstan,1976,4.447166666666667,0.24349999999999997
Kazakhstan,1977,6.077666666666666,0.2036666666666667
Kazakhstan,1978,6.040166666666667,0.21466666666666667
Kazakhstan,1979,6.119583333333334,0.20766666666666667
Kazakhstan,1980,5.7067499999999995,0.22183333333333333
Kazakhstan,1981,6.71525,0.22791666666666666
Kazakhstan,1982,6.257583333333334,0.24241666666666664
Kazakhstan,1983,7.660083333333333,0.23791666666666667
Kazakhstan,1984,4.852333333333334,0.2339166666666667
Kazakhstan,1985,5.49775,0.26308333333333334
Kazakhstan,1986,5.68725,0.24491666666666664
Kazakhstan,1987,5.526083333333332,0.23408333333333334
Kazakhstan,1988,6.377666666666669,0.20391666666666663
Kazakhstan,1989,6.517000000000002,0.23450000000000001
Kazakhstan,1990,6.555750000000001,0.239
Kazakhstan,1991,6.470999999999999,0.2054166666666667
Kazakhstan,1992,5.809666666666668,0.256
Kazakhstan,1993,4.702249999999999,0.2583333333333333
Kazakhstan,1994,5.536500000000001,0.25475000000000003
Kazakhstan,1995,7.335333333333335,0.2589166666666667
Kazakhstan,1996,5.100833333333333,0.25925000000000004
Kazakhstan,1997,7.065333333333334,0.29791666666666666
Kazakhstan,1998,6.248916666666666,0.261
Kazakhstan,1999,6.9755,0.27775
Kazakhstan,2000,6.761416666666668,0.27258333333333334
Kazakhstan,2001,6.813083333333334,0.2860833333333333
Kazakhstan,2002,7.301583333333333,0.30274999999999996
Kazakhstan,2003,6.1314166666666665,0.32075
Kazakhstan,2004,7.393000000000001,0.2784166666666667
Kazakhstan,2005,6.998833333333333,0.23566666666666666
Kazakhstan,2006,6.869833333333332,0.2594166666666667
Kazakhstan,2007,7.155166666666666,0.2575
Kazakhstan,2008,7.028916666666667,0.2475833333333333
Kazakhstan,2009,6.382083333333333,0.24641666666666662
Kazakhstan,2010,6.710000000000001,0.25875000000000004
Kazakhstan,2011,5.69625,0.2946666666666667
Kazakhstan,2012,6.075416666666668,0.4486666666666667
Kazakhstan,2013,8.937249999999999,0.43624999999999997
Mexico,1960,20.746583333333337,0.22991666666666666
Mexico,1961,20.723916666666664,0.19450000000000003
Mexico,1962,20.99333333333333,0.2568333333333333
Mexico,1963,20.879416666666668,0.23683333333333334
Mexico,1964,20.586333333333336,0.22041666666666668
Mexico,1965,20.7345,0.26175
Mexico,1966,20.389666666666667,0.21775
Mexico,1967,20.683333333333334,0.21733333333333335
Mexico,1968,20.31608333333333,0.22491666666666668
Mexico,1969,20.95883333333333,0.2038333333333333
Mexico,1970,20.490083333333335,0.22324999999999998
Mexico,1971,20.640333333333334,0.2210833333333333
Mexico,1972,20.974999999999998,0.22375
Mexico,1973,20.496166666666667,0.23933333333333337
Mexico,1974,20.6315,0.22950000000000004
Mexico,1975,20.449333333333332,0.23649999999999996
Mexico,1976,20.145666666666667,0.24183333333333332
Mexico,1977,20.841250000000002,0.20775
Mexico,1978,20.755499999999998,0.22558333333333336
Mexico,1979,20.569000000000003,0.18825
Mexico,1980,21.035666666666668,0.1811666666666667
Mexico,1981,20.75375,0.22716666666666666
Mexico,1982,21.051083333333334,0.21308333333333332
Mexico,1983,20.675416666666667,0.21458333333333335
Mexico,1984,20.511499999999998,0.20466666666666666
Mexico,1985,20.603916666666667,0.2224166666666667
